"INDICATOR";"FREQ";"AGE";"SEX";"LOCATION";"REF_AREA";"SCENARIO";"TIME_PERIOD";"OBS_VALUE"
"SM_POP_NETM";"A";"_T";"_T";"_T";"OMN";"M";"2000";"21.3586"
"SM_POP_NETM";"A";"_T";"_T";"_T";"OMN";"M";"2005";"6.5134"
"SM_POP_NETM";"A";"_T";"_T";"_T";"OMN";"M";"2010";"205.9876"
"SM_POP_NETM";"A";"_T";"_T";"_T";"OMN";"M";"2015";"9.098"
"SM_POP_NETM";"A";"_T";"_T";"_T";"OMN";"M";"2020";"-2.6118"
"SM_POP_NETM";"A";"_T";"_T";"_T";"PAK";"M";"1995";"-37.4664"
"SM_POP_NETM";"A";"_T";"_T";"_T";"PAK";"M";"2000";"-350.8414"
"SM_POP_NETM";"A";"_T";"_T";"_T";"PAK";"M";"2005";"-369.4208"
"SM_POP_NETM";"A";"_T";"_T";"_T";"PAK";"M";"2010";"-326.884"
"SM_POP_NETM";"A";"_T";"_T";"_T";"PAK";"M";"2015";"-225.4604"
"SM_POP_NETM";"A";"_T";"_T";"_T";"PAK";"M";"2020";"-158.7256"
"SM_POP_NETM";"A";"_T";"_T";"_T";"PSE";"M";"1995";"14"
"SM_POP_NETM";"A";"_T";"_T";"_T";"PSE";"M";"2000";"-38"
"SM_POP_NETM";"A";"_T";"_T";"_T";"PSE";"M";"2005";"-18"
"SM_POP_NETM";"A";"_T";"_T";"_T";"PSE";"M";"2010";"-8.75"
"SM_POP_NETM";"A";"_T";"_T";"_T";"PSE";"M";"2015";"-6.5626"
"SM_POP_NETM";"A";"_T";"_T";"_T";"PSE";"M";"2020";"-5"
"SM_POP_NETM";"A";"_T";"_T";"_T";"QAT";"M";"1995";"8.568"
"SM_POP_NETM";"A";"_T";"_T";"_T";"QAT";"M";"2000";"34.0804"
"SM_POP_NETM";"A";"_T";"_T";"_T";"QAT";"M";"2005";"171.4176"
"SM_POP_NETM";"A";"_T";"_T";"_T";"QAT";"M";"2010";"99.9996"
"SM_POP_NETM";"A";"_T";"_T";"_T";"QAT";"M";"2015";"17.8394"
"SM_POP_NETM";"A";"_T";"_T";"_T";"QAT";"M";"2020";"6.9534"
"SM_POP_NETM";"A";"_T";"_T";"_T";"RUS";"M";"1995";"461.644"
"SM_POP_NETM";"A";"_T";"_T";"_T";"RUS";"M";"2000";"327.0648"
"SM_POP_NETM";"A";"_T";"_T";"_T";"RUS";"M";"2005";"451.47"
"SM_POP_NETM";"A";"_T";"_T";"_T";"RUS";"M";"2010";"220.0004"
"SM_POP_NETM";"A";"_T";"_T";"_T";"RUS";"M";"2015";"180.0002"
"SM_POP_NETM";"A";"_T";"_T";"_T";"RUS";"M";"2020";"119.9998"
