Data Source,World Development Indicators,,,,,
,,,,,,
Last Updated Date,2017-02-01,,,,,
,,,,,,
"Egypt, Arab Rep.",EGY,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.7315978712,,
"Egypt, Arab Rep.",EGY,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,3486000000,,
"Egypt, Arab Rep.",EGY,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,3140000000,,
"Egypt, Arab Rep.",EGY,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,7208000000,,
"Egypt, Arab Rep.",EGY,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,346000000,,
"Egypt, Arab Rep.",EGY,"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,771000000,,
"Egypt, Arab Rep.",EGY,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,16.9400844563,,
"Egypt, Arab Rep.",EGY,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,7979000000,,
"Egypt, Arab Rep.",EGY,"International tourism, number of departures",ST.INT.DPRT,6180000,,
"Egypt, Arab Rep.",EGY,"International tourism, number of arrivals",ST.INT.ARVL,9628000,,
"Egypt, Arab Rep.",EGY,Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT,12.6,,
"Egypt, Arab Rep.",EGY,Urban population (% of total),SP.URB.TOTL.IN.ZS,43.069,43.135,
"Egypt, Arab Rep.",EGY,Urban population,SP.URB.TOTL,38581068,39472012,
"Egypt, Arab Rep.",EGY,Urban population growth (annual %),SP.URB.GROW,2.3210779057,2.2830173968,
"Egypt, Arab Rep.",EGY,Rural population (% of total population),SP.RUR.TOTL.ZS,56.931,56.865,
"Egypt, Arab Rep.",EGY,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.1416060607,2.0138949812,
"Egypt, Arab Rep.",EGY,Rural population,SP.RUR.TOTL,50998602,52036072,
"Egypt, Arab Rep.",EGY,Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,,,
"Egypt, Arab Rep.",EGY,Completeness of birth registration (%),SP.REG.BRTH.ZS,99.4,,
"Egypt, Arab Rep.",EGY,"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,99.7,,
"Egypt, Arab Rep.",EGY,"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS,99.3,,
"Egypt, Arab Rep.",EGY,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.4766401796,49.4684863034,
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,89579670,91508084,
"Egypt, Arab Rep.",EGY,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,354.9385070801,,
"Egypt, Arab Rep.",EGY,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,681.6116943359,,
